Unnamed: 0,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books & Reference,"January 21, 2018",1,4.0 and up
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,100000,Free,0.0,Everyone,Books & Reference,"July 17, 2018",1,4.0.3 and up
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000,Free,0.0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books & Reference,"May 17, 2018",15,2.3 and up
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000,Free,0.0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up
163,Anonymous caller detection,BOOKS_AND_REFERENCE,,161,2.7,10000,Free,0.0,Everyone,Books & Reference,"July 13, 2018",1,2.3 and up
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000,Free,0.0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19.0,500000,Free,0.0,Everyone,Books & Reference,"November 23, 2017",2,4.0.3 and up
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23.0,1000000,Free,0.0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
170,Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0.0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up
171,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up
174,English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0.0,Everyone,Books & Reference,"March 31, 2018",14,4.0 and up
175,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0.0,Everyone,Books & Reference,"May 28, 2018",6,4.0.3 and up
176,Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000,Free,0.0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21.0,50000,Free,0.0,Everyone,Books & Reference,"July 17, 2018",2,3.0 and up
178,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0.0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up
180,SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,,2,7.2,50000,Free,0.0,Everyone,Books & Reference,"June 15, 2018",3,6.0 and up
181,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up
182,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up
183,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
184,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up
185,URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,,114,7.3,100000,Free,0.0,Everyone,Books & Reference,"August 7, 2015",1.1,5.1 and up
195,USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000,Free,0.0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up
196,Job Search by ZipRecruiter,BUSINESS,4.8,148945,25.0,1000000,Free,0.0,Everyone,Business,"July 19, 2018",5.2.8,5.0 and up
197,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up
200,SuperLivePro,BUSINESS,4.3,46353,21.0,1000000,Free,0.0,Everyone,Business,"April 13, 2016",2.8,1.5 and up
209,Plugin:AOT v5.0,BUSINESS,3.1,4034,0.0,100000,Free,0.0,Everyone,Business,"September 11, 2015",3.0.1.11 (Build 311),2.2 and up
210,Kariyer.net,BUSINESS,3.9,45964,16.0,1000000,Free,0.0,Everyone,Business,"July 18, 2018",5.1.5,4.1 and up
212,Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14.0,1000000,Free,0.0,Everyone,Business,"July 10, 2018",2.3.6,4.1 and up
217,ViettelPost express delivery,BUSINESS,4.4,1225,25.0,100000,Free,0.0,Everyone,Business,"August 1, 2018",1.0.6.8,4.1 and up
219,Job Korea - Career Jobs,BUSINESS,4.3,10600,6.5,1000000,Free,0.0,Everyone,Business,"August 1, 2018",2.5.6,4.0 and up
220,"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,74359,25.0,1000000,Free,0.0,Everyone,Business,"July 27, 2018",1.12.5,4.0 and up
221,Myanmar 2D/3D,BUSINESS,4.6,822,3.1,100000,Free,0.0,Everyone,Business,"June 8, 2018",1.5,4.0.3 and up
223,sABN,BUSINESS,4.4,2287,1.5,1000000,Free,0.0,Everyone,Business,"March 26, 2018",4.9,2.2 and up
224,ATI Cargoes and Transportation,BUSINESS,4.7,4162,7.5,100000,Free,0.0,Everyone,Business,"July 24, 2018",0.9.4,4.0.3 and up
227,Y! Mobile menu,BUSINESS,,9,1.2,100000,Free,0.0,Everyone,Business,"April 9, 2018",1.0.5,6.0 and up
233,Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19.0,1000000,Free,0.0,Everyone,Business,"August 2, 2018",3.4.49,4.1 and up
237,Zenefits,BUSINESS,4.2,296,14.0,50000,Free,0.0,Everyone,Business,"June 15, 2018",3.2.1,4.1 and up
241,FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up
242,Insightly CRM,BUSINESS,3.8,1383,51.0,100000,Free,0.0,Everyone,Business,"July 12, 2018",3.24.1,5.0 and up
243,QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175,41.0,1000000,Free,0.0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
244,HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
246,"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448,12.0,500000,Free,0.0,Everyone,Business,"July 25, 2018",4.9.1,5.0 and up
247,Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
248,Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
249,Google Analytics,BUSINESS,4.5,78662,22.0,1000000,Free,0.0,Everyone,Business,"February 13, 2018",3.7.5,4.4 and up
250,AdWords Express,BUSINESS,4.1,7149,11.0,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
251,Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
252,Invoice & Time Tracking - Zoho,BUSINESS,4.6,5800,8.6,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
